(0, 1, 8, 15)->[0, -2, (-3-1*r5), (3-1*r5)]
(0, 1, 53, 8)->[(-1+1*r5), (1-1*r5), (-3-1*r5), (-1+1*r5)]
(0, 1, 90, 15)->[0, (-1-1*r5), (0-2*r5), (-1+1*r5)]
(0, 1, 53, 78)->[2, -2, (0-2*r5), 2]
(0, 1, 90, 78)->[(-1+1*r5), (-1-1*r5), -4, 2]
(0, 58, 53, 6)->[(1+1*r5), (1-1*r5), (0-2*r5), 0]
(0, 78, 53, 6)->[(1+1*r5), -2, -4, (-1+1*r5)]
(0, 58, 84, 6)->[(1+1*r5), -2, -4, (1-1*r5)]
(0, 73, 6, 78)->[(1+1*r5), (-1-1*r5), (-1-1*r5), (3-1*r5)]
(0, 73, 84, 6)->[(1+1*r5), (-1-1*r5), (-1-1*r5), (-3+1*r5)]
(0, 8, 9, 15)->[0, -2, (-3-1*r5), (-3+1*r5)]
(0, 8, 58, 9)->[(-1+1*r5), (1-1*r5), (-3-1*r5), (1-1*r5)]
(0, 8, 58, 53)->[2, (-3+1*r5), (-3-1*r5), 0]
(0, 9, 102, 15)->[0, (-1-1*r5), (0-2*r5), (1-1*r5)]
(0, 9, 58, 84)->[2, -2, (0-2*r5), -2]
(0, 9, 84, 102)->[(-1+1*r5), (-1-1*r5), -4, -2]
(0, 90, 102, 15)->[0, -4, -4, 0]
(0, 73, 90, 78)->[2, -4, (-1-1*r5), (-1+1*r5)]
(0, 73, 84, 102)->[2, -4, (-1-1*r5), (1-1*r5)]
(0, 73, 90, 102)->[(-1+1*r5), (0-2*r5), (-1-1*r5), 0]
(40, 75, 86, 31)->[(-1-1*r5), (0+2*r5), 0, (-1+1*r5)]
(35, 103, 86, 55)->[(1-1*r5), (1+1*r5), 0, (0+2*r5)]
(49, 26, 79, 63)->[(-1-1*r5), (-3+1*r5), (-1-1*r5), (1+1*r5)]
(49, 26, 93, 79)->[(-1-1*r5), (3-1*r5), (-1-1*r5), (1+1*r5)]
(42, 118, 58, 98)->[2, (-1+1*r5), -4, (-1-1*r5)]
(108, 117, 20, 77)->[-2, 2, (0+2*r5), -2]
(64, 90, 27, 30)->[0, (-3-1*r5), (-3+1*r5), 2]
