(0, 20, 54, 39)->[0, 2*r5, (1-1*r5), (-1-1*r5)]
(0, 115, 20, 39)->[0, (3+1*r5), (-3+1*r5), -2]
(0, 48, 20, 54)->[(-1+1*r5), 4, -2, (-1-1*r5)]
(0, 48, 20, 118)->[2, 2*r5, -2, -2]
(0, 115, 20, 118)->[(-1+1*r5), (3+1*r5), (1-1*r5), (1-1*r5)]
(0, 83, 72, 22)->[2, 2*r5, 2, -2]
(0, 98, 72, 22)->[(1+1*r5), 4, (-1+1*r5), -2]
(0, 115, 83, 22)->[(-1+1*r5), (3+1*r5), (-1+1*r5), (1-1*r5)]
(0, 98, 118, 22)->[(1+1*r5), 2*r5, 0, (1-1*r5)]
(0, 118, 115, 22)->[2, (3+1*r5), 0, (-3+1*r5)]
(0, 82, 54, 39)->[0, 4, 0, -4]
(0, 82, 83, 39)->[0, 2*r5, (-1+1*r5), (-1-1*r5)]
(0, 115, 83, 39)->[0, (3+1*r5), (3-1*r5), -2]
(0, 81, 48, 54)->[2, (1+1*r5), (1-1*r5), -4]
(0, 81, 48, 98)->[(1+1*r5), (1+1*r5), (-3+1*r5), (-1-1*r5)]
(0, 48, 118, 98)->[(1+1*r5), 4, (1-1*r5), -2]
(0, 81, 82, 54)->[(-1+1*r5), (1+1*r5), 0, -2*r5]
(0, 81, 82, 72)->[2, (1+1*r5), (-1+1*r5), -4]
(0, 81, 98, 72)->[(1+1*r5), (1+1*r5), (3-1*r5), (-1-1*r5)]
(0, 83, 82, 72)->[(-1+1*r5), 4, 2, (-1-1*r5)]
(17, 2, 107, 94)->[-2, 2, -2*r5, -2]
(17, 26, 20, 117)->[(1-1*r5), 2*r5, (-1-1*r5), 0]
(32, 75, 101, 30)->[-2, -2*r5, -2, -2]
(17, 50, 117, 94)->[(-1-1*r5), (1+1*r5), (-1-1*r5), (-3+1*r5)]
(16, 33, 80, 31)->[(1-1*r5), (-1+1*r5), (-1+1*r5), (3+1*r5)]
(35, 34, 19, 51)->[-4, 2, (-1+1*r5), (-1-1*r5)]
(105, 106, 68, 61)->[2*r5, (1-1*r5), 0, (-1-1*r5)]
(58, 43, 85, 119)->[-2, -2, 2, -2*r5]
(66, 107, 60, 54)->[0, (-1+1*r5), (-1-1*r5), -2*r5]
(41, 51, 69, 119)->[-4, (1-1*r5), (1+1*r5), -2]
(34, 82, 54, 63)->[(-3+1*r5), 2, 0, (-3-1*r5)]
(16, 33, 31, 23)->[-2, 2, 2, 2*r5]
(115, 116, 117, 39)->[-2, (3+1*r5), 0, (-3+1*r5)]
(86, 109, 45, 6)->[(1+1*r5), (1-1*r5), 2, 4]
(104, 114, 76, 93)->[2, 2, 2*r5, 2]
(48, 98, 11, 106)->[2*r5, 2, -2, -2]
(57, 44, 62, 55)->[(-3-1*r5), (1-1*r5), (1-1*r5), (-1+1*r5)]
