(0, 4642, 3919, 5808, 3505, 6035)->[(-3+1*r5), -2, 4, (-3-1*r5)]
(0, 1091, 5284, 4167, 3080, 5545, 5291, 1709, 3919, 3505, 5874, 6302)->[(1-1*r5), -2, (1+1*r5), -4]
(0, 6794, 6813, 6302, 4642, 5796, 5421, 5808, 3505, 2117, 4167, 6985, 1227, 4302, 1388, 4461, 4973, 3064, 3449, 2301)->[(-3+1*r5), (-3+1*r5), (1+1*r5), (-1-1*r5)]
(0, 3713, 3080, 6409, 1164, 3089, 6035, 6696, 5291, 5808, 1205, 3266, 5702, 2379, 3919, 247, 5219, 5860, 6117, 2551)->[0, -2, (5-1*r5), (-1-1*r5)]
(0, 3713, 1284, 5767, 6409, 6794, 3982, 3089, 3857, 3347, 3220, 4501, 535, 4376, 6170, 2075, 6941, 6302, 3872, 1314, 4770, 4645, 3623, 6696, 5291, 4140, 4652, 5808, 5814, 4792, 6329, 5830, 4297, 4170, 5195, 6985, 1742, 4302, 4051, 5459, 6614, 1623, 3415, 5721, 986, 6616, 732, 6108, 7007, 5860, 6117, 2536, 4461, 4973, 2033, 3570, 247, 3064, 3449, 2043)->[0, (-3+1*r5), 2, (1-1*r5)]
(4681, 1834, 4301, 1044, 1076, 4855)->[(-1-1*r5), 0, (1-1*r5), 6]
(4236, 1616, 1816, 7161, 3451, 4028)->[(-3+1*r5), (-2-2*r5), (1-1*r5), 2]
(1661, 519, 1736, 2002, 2397, 6751)->[(-1-1*r5), (1-1*r5), 2*r5, -4]
(6080, 5165, 5232, 3351, 668, 6782)->[2, -6, 2, -2]
(3588, 5030, 6375, 55, 3417, 4346)->[(-3-1*r5), -4, -2, (3-1*r5)]
(4360, 4137, 4397, 3310, 624, 5719)->[(1-1*r5), (-1-1*r5), -4, -2*r5]
(288, 6921, 1932, 1238, 1369, 4767)->[(3-1*r5), -2*r5, 0, (3+1*r5)]
(6343, 489, 4399, 2735, 3258, 318)->[(-3+1*r5), 2, (-2-2*r5), (-1+1*r5)]
(4389, 6382, 655, 6256, 537, 7134)->[-2*r5, (3+1*r5), 0, (3-1*r5)]
(3594, 3468, 2897, 4212, 2039, 954)->[0, -6, (1-1*r5), (1+1*r5)]
(4202, 6482, 1110, 1915, 5789, 5054)->[-4, (-3+1*r5), 2, (-3-1*r5)]
(6853, 712, 6286, 4718, 2707, 1496)->[(-3+1*r5), 0, (3+1*r5), 2*r5]
(6307, 4355, 4869, 6600, 174, 6197)->[-4, -2*r5, (-1+1*r5), (1+1*r5)]
(2724, 7142, 1271, 6872, 5598, 1023)->[-2, 2, -6, -2]
(1569, 1703, 1425, 5329, 853, 1815)->[6, 0, (1+1*r5), (1-1*r5)]
(2242, 2760, 2200, 6233, 2747, 1182)->[0, (3+1*r5), (3-1*r5), 2*r5]
(1390, 47, 5623, 6650, 1212, 925)->[-2, -2, -6, 2]
(490, 1548, 4173, 4053, 3865, 2271)->[2, -2*r5, 2, 2*r5]
(3556, 838, 4820, 6231, 4510, 2463)->[(1+1*r5), (-1+1*r5), 6, 0]
(6592, 6694, 6249, 4941, 6129, 4821)->[(-2-2*r5), (2-2*r5), 0, 0]
(3360, 4289, 3428, 2876, 2300, 2813)->[(-3+1*r5), (3+1*r5), -2, 4]
(3681, 3529, 5591, 7194, 7067, 1149)->[-2*r5, -2, -2, 2*r5]
(3330, 2574, 4661, 3096, 2841, 3162)->[(-1+1*r5), -2, (-3+1*r5), (2+2*r5)]
(2191, 2320, 3192, 4091, 4829, 2878)->[(3-1*r5), -2, (-2-2*r5), (1-1*r5)]
(3456, 2722, 2437, 4500, 84, 5439)->[-2, 4, (3-1*r5), (3+1*r5)]
(6850, 419, 2921, 3146, 4105, 5932)->[2*r5, (3+1*r5), 0, (-3+1*r5)]
(3779, 4708, 7, 4590, 879, 3475)->[(3-1*r5), 2, 4, (3+1*r5)]
(2275, 1348, 6959, 6192, 4441, 2363)->[2*r5, (1-1*r5), 4, (1+1*r5)]
(2824, 6573, 4530, 819, 6228, 7125)->[(3-1*r5), 0, (3+1*r5), 2*r5]
(6499, 5636, 6384, 6998, 6973, 4446)->[(1-1*r5), (-2-2*r5), 2, (-3+1*r5)]
(1698, 3651, 2538, 2796, 7117, 3793)->[2, (-3-1*r5), -4, (3-1*r5)]
(5286, 3443, 2259, 372, 6037, 6877)->[(-3-1*r5), -2*r5, (3-1*r5), 0]
(1953, 3122, 3508, 5172, 5396, 2809)->[(1-1*r5), (2+2*r5), 2, (3-1*r5)]
(6250, 1963, 7020, 1392, 5239, 6075)->[-2*r5, 2, 2*r5, 2]
(1377, 6785, 268, 5206, 2073, 1502)->[2*r5, (-1+1*r5), 4, (1+1*r5)]
(480, 3784, 6516, 2519, 6394, 4126)->[0, (-1+1*r5), (-1-1*r5), -6]
(3012, 6862, 6354, 5334, 4278, 313)->[2*r5, (-1+1*r5), -4, (1+1*r5)]
(3808, 4227, 5285, 5897, 4592, 185)->[4, (-3+1*r5), 2, (3+1*r5)]
(4579, 4996, 836, 5494, 988, 1886)->[(1-1*r5), 2, (-3+1*r5), (2+2*r5)]
(4807, 873, 2761, 2637, 4013, 4018)->[(-3-1*r5), (-1-1*r5), (2-2*r5), -2]
(5002, 4654, 4015, 3890, 4628, 1757)->[2, 2, -6, -2]
(1255, 1547, 3248, 344, 666, 5533)->[2, 2*r5, 2*r5, -2]
(5185, 4358, 5416, 4208, 2101, 1372)->[(-3-1*r5), (3-1*r5), 0, -2*r5]
(6469, 7116, 5040, 4341, 4542, 7199)->[-4, (-1+1*r5), (1+1*r5), 2*r5]
(4065, 4421, 2513, 2586, 6677, 1306)->[-4, (3+1*r5), (-3+1*r5), -2]
(6596, 2726, 4522, 394, 1295, 5215)->[(-1+1*r5), (3-1*r5), (-2-2*r5), 2]
(1992, 779, 5652, 1269, 118, 4509)->[(1+1*r5), 2, (2-2*r5), (3+1*r5)]
(1542, 2794, 6894, 4596, 440, 5180)->[(3-1*r5), (3+1*r5), -2*r5, 0]
(6146, 2116, 2342, 6251, 2225, 4567)->[(-1+1*r5), 2*r5, (-1-1*r5), 4]
(3300, 3402, 6285, 3061, 3734, 1822)->[(1-1*r5), -2*r5, (-1-1*r5), -4]
(5094, 7112, 2218, 850, 5909, 5333)->[(3+1*r5), 2, (-1-1*r5), (-2+2*r5)]
(3746, 7012, 2823, 6224, 3643, 1823)->[0, (2+2*r5), 0, (2-2*r5)]
(3943, 3111, 5513, 4404, 1659, 2238)->[(3+1*r5), 4, -2, (-3+1*r5)]
(1122, 4163, 7046, 2154, 5045, 663)->[0, (1-1*r5), (-1-1*r5), 6]
(135, 2188, 5809, 473, 2458, 1531)->[(-3+1*r5), (-2-2*r5), (1-1*r5), -2]
(4928, 3204, 197, 4710, 4938, 4012)->[(-3+1*r5), -2, -4, (3+1*r5)]
(457, 3852, 2829, 3502, 2863, 6172)->[-6, -2, -2, 2]
(2403, 6118, 6088, 6984, 1712, 4240)->[(1+1*r5), -6, 0, (1-1*r5)]
(3108, 267, 3853, 6167, 7000, 4511)->[(3+1*r5), (-2+2*r5), 2, (1+1*r5)]
(4129, 5517, 2833, 6577, 3515, 3231)->[(1-1*r5), 2*r5, (-1-1*r5), -4]
(5632, 4197, 6185, 6301, 2587, 5469)->[-2, -6, 2, 2]
(3176, 1840, 5845, 407, 2488, 122)->[0, 6, (-1+1*r5), (-1-1*r5)]
(4067, 807, 199, 746, 6618, 219)->[0, -2*r5, (3+1*r5), (3-1*r5)]
(2210, 5253, 1905, 83, 920, 5497)->[2*r5, 2, -2*r5, -2]
(615, 6418, 6163, 499, 2169, 3994)->[-2*r5, -2*r5, -2, -2]
(3161, 2468, 2757, 977, 1849, 1881)->[2, (-2+2*r5), (-1-1*r5), (-3-1*r5)]
(1857, 4230, 6023, 3658, 6771, 1405)->[(-2-2*r5), 0, (-2+2*r5), 0]
(3170, 2219, 5584, 7192, 6971, 2527)->[(3+1*r5), (-3+1*r5), 4, -2]
(2400, 4513, 804, 4731, 81, 923)->[(-1-1*r5), 6, 0, (1-1*r5)]
(960, 6913, 6798, 1330, 6166, 7165)->[(-2-2*r5), (-1+1*r5), (-3+1*r5), 2]
(6370, 3531, 6770, 503, 2557, 3519)->[-2, -2, -2, 6]
(3171, 1765, 3304, 4528, 6323, 3893)->[(3+1*r5), 0, -2*r5, (-3+1*r5)]
(2408, 4233, 5641, 5674, 3027, 1885)->[(1+1*r5), -2*r5, 4, (1-1*r5)]
(2720, 4515, 2245, 7179, 2896, 4025)->[6, (1+1*r5), (-1+1*r5), 0]
(5537, 5063, 6131, 7096, 121, 4223)->[(2-2*r5), 2, (-3-1*r5), (1+1*r5)]
(7136, 897, 558, 2703, 2545, 4724)->[(2+2*r5), 2, (1-1*r5), (3-1*r5)]
(4387, 3947, 2288, 6963, 6230, 4219)->[(1-1*r5), 0, -6, (1+1*r5)]
(4713, 2235, 526, 5393, 6071, 2875)->[-2, (-2+2*r5), (-1-1*r5), (-3-1*r5)]
(2080, 3877, 1967, 1200, 3185, 4405)->[0, -4, -4, 4]
(5953, 491, 2801, 3922, 7131, 7069)->[(-3+1*r5), (-2-2*r5), (-1+1*r5), 2]
(1739, 2671, 2192, 6546, 5332, 6299)->[(2+2*r5), 0, 0, (-2+2*r5)]
(6562, 6855, 1260, 6509, 1326, 1299)->[(2-2*r5), (3+1*r5), (-1-1*r5), 2]
(3008, 322, 3143, 7113, 5532, 4735)->[(1-1*r5), -2*r5, (1+1*r5), -4]
(4514, 5096, 4649, 6313, 3732, 1335)->[(2-2*r5), 0, (-2-2*r5), 0]
(2946, 4523, 3410, 531, 3262, 6975)->[-2, (-3-1*r5), 4, (-3+1*r5)]
(2695, 2442, 1654, 2425, 218, 4954)->[(-1-1*r5), (-3-1*r5), 2, (2-2*r5)]
(5218, 5474, 1740, 1580, 6581, 7035)->[(1+1*r5), (-1+1*r5), -2*r5, 4]
(6753, 6212, 4808, 5193, 6857, 3759)->[(-1-1*r5), -2, (-2+2*r5), (3+1*r5)]
