[-2, (-3-3*r5), (-5+1*r5), 0]
[(-3-1*r5), (5+1*r5), (2-2*r5), (0+2*r5)]
[(1-1*r5), -2, (-3-3*r5), (2-2*r5)]
[(-1+3*r5), (1-1*r5), (4+2*r5), 0]
[(5+1*r5), (-1+1*r5), -6, 4]
[(3-1*r5), (-1-1*r5), (-3+1*r5), (-3-3*r5)]
[(3+1*r5), (2-2*r5), (-4-2*r5), (-3+1*r5)]
[(-3+1*r5), -2, -4, (-7-1*r5)]
[(-5-1*r5), (1+1*r5), (1-3*r5), (1+1*r5)]
[-2, (7+1*r5), -4, (3-1*r5)]
[-2, (2+2*r5), (1-3*r5), (3+1*r5)]
[(1+1*r5), (5-1*r5), (4+2*r5), -4]
[4, (5+1*r5), 6, (1-1*r5)]
[6, (-5-1*r5), (-1+1*r5), -4]
[(-4-2*r5), 0, (1-3*r5), (-1+1*r5)]
[(-7-1*r5), 0, (0+2*r5), (-3+1*r5)]
[2, (-7-1*r5), (-2+2*r5), (-1-1*r5)]
[(-3+1*r5), (-7-1*r5), 2, -4]
[4, (-1-1*r5), (4+2*r5), (5-1*r5)]
[(2+2*r5), (1-3*r5), -2, (-3-1*r5)]
[(-2-2*r5), (1+3*r5), (-3+1*r5), -2]
[(-3+1*r5), (2+2*r5), (-1-3*r5), -2]
[(1+3*r5), 6, (1+1*r5), 0]
[(-4-2*r5), (-3-1*r5), (-2+2*r5), (-3+1*r5)]
[(1+1*r5), (-1-1*r5), (-1+3*r5), (-5-1*r5)]
[(1+1*r5), 2, 8, (-3-1*r5)]
[(1-3*r5), (-1-1*r5), (1+1*r5), (-5-1*r5)]
[(1+1*r5), -6, 0, (1+3*r5)]
[2, (-3-1*r5), (2+2*r5), (-1+3*r5)]
[(0+2*r5), (2-2*r5), (5+1*r5), (-3-1*r5)]
[2, (-7-1*r5), 4, (-3+1*r5)]
[(0+2*r5), (2-2*r5), (-5-1*r5), (3+1*r5)]
[(-1-3*r5), -2, (-3+1*r5), (-2-2*r5)]
[(-2+2*r5), (2+2*r5), -4, (2+2*r5)]
[4, (5-1*r5), (1+1*r5), (4+2*r5)]
[(1-3*r5), (3+1*r5), -2, (-2-2*r5)]
[(5-1*r5), (-2-2*r5), -2, (-5-1*r5)]
[(5+1*r5), (1+1*r5), (-1+3*r5), (-1-1*r5)]
[(4+2*r5), (-3-1*r5), (-2+2*r5), (-3+1*r5)]
[(-5-1*r5), (5+1*r5), (3-1*r5), (3-1*r5)]
[(1+1*r5), (-5-1*r5), (-1-1*r5), (-1+3*r5)]
[(0-2*r5), (3+1*r5), (2-2*r5), (5+1*r5)]
[(-3+1*r5), (-3-3*r5), (-3+1*r5), (-1-1*r5)]
[-6, 0, (1+1*r5), (-1-3*r5)]
[-2, (-2+2*r5), (1+1*r5), (7+1*r5)]
[(-2-2*r5), (1+3*r5), (-3+1*r5), 2]
[0, (1+1*r5), 6, (1+3*r5)]
[-2, (-5-1*r5), (-5+1*r5), (-2-2*r5)]
[(-5-1*r5), (-3+1*r5), (-3+1*r5), (-5-1*r5)]
[-6, (1-1*r5), 4, (5+1*r5)]
[-2, (7+1*r5), (-2+2*r5), (-1-1*r5)]
[(1+3*r5), (-1-1*r5), 4, (0+2*r5)]
[(1+1*r5), -2, 8, (-3-1*r5)]
[(4+2*r5), 4, (1+1*r5), (-5+1*r5)]
[(0-2*r5), (3+1*r5), (-2+2*r5), (5+1*r5)]
[(-4-2*r5), (-5+1*r5), 4, (1+1*r5)]
[(3+1*r5), (-3+1*r5), (2+2*r5), -6]
[-2, (-3+1*r5), (7+1*r5), -4]
[(3+3*r5), (-2+2*r5), (1-1*r5), -2]
[(2-2*r5), (-5-1*r5), (0+2*r5), (-3-1*r5)]
[(3-1*r5), (-4-2*r5), (-2+2*r5), (-3-1*r5)]
[2, (1+3*r5), (-2-2*r5), (3-1*r5)]
[4, (1+1*r5), (0-2*r5), (-1-3*r5)]
[(1-3*r5), (5+1*r5), (-1-1*r5), (-1-1*r5)]
[(-2+2*r5), (1-1*r5), (3+3*r5), -2]
[(3+1*r5), (3-1*r5), (-2+2*r5), (4+2*r5)]
[(2-2*r5), (-4-2*r5), (3+1*r5), (3-1*r5)]
[4, (1+1*r5), (0+2*r5), (1+3*r5)]
[(1+1*r5), 6, 0, (-1-3*r5)]
[2, (1+1*r5), (-3-1*r5), -8]
[(-7-1*r5), (2-2*r5), -2, (1+1*r5)]
[0, (-1-1*r5), 6, (-1-3*r5)]
[(5+1*r5), (-1+3*r5), (1+1*r5), (-1-1*r5)]
[-6, (1-1*r5), -4, (-5-1*r5)]
[(-3+1*r5), (-3+1*r5), (1+1*r5), (3+3*r5)]
[-4, (4+2*r5), (-5+1*r5), (1+1*r5)]
[(3+1*r5), (2+2*r5), 2, (1-3*r5)]
[(-1-1*r5), (-1-1*r5), (-5-1*r5), (1-3*r5)]
[(5-1*r5), (5+1*r5), (2+2*r5), -2]
[-4, (2+2*r5), (-2-2*r5), (-2+2*r5)]
[(-5-1*r5), (-5+1*r5), 2, (-2-2*r5)]
[(1-3*r5), (-4-2*r5), 0, (1-1*r5)]
[(7+1*r5), (2-2*r5), 2, (1+1*r5)]
[0, (1-3*r5), (4+2*r5), (-1+1*r5)]
[(-1+3*r5), (1+1*r5), (-1-1*r5), (5+1*r5)]
[(-3+1*r5), (-1-1*r5), (3+3*r5), (-3+1*r5)]
[(1+1*r5), 8, (-3-1*r5), 2]
[(3+1*r5), (5+1*r5), (2-2*r5), (0+2*r5)]
[(3+3*r5), (-2+2*r5), (1-1*r5), 2]
[4, (5+1*r5), 6, (-1+1*r5)]
[(5+1*r5), (3+1*r5), (0+2*r5), (-2+2*r5)]
[(-1-1*r5), 2, (2-2*r5), (-7-1*r5)]
[(1+1*r5), 4, (-5+1*r5), (4+2*r5)]
[(7+1*r5), (-2+2*r5), -2, (1+1*r5)]
[(3-1*r5), (4+2*r5), (-2+2*r5), (3+1*r5)]
[0, (0+2*r5), (7+1*r5), (-3+1*r5)]
[-2, (-5+1*r5), (2+2*r5), (5+1*r5)]
[(-3-3*r5), (-3+1*r5), (-3+1*r5), (-1-1*r5)]
[(0-2*r5), (-7-1*r5), 0, (-3+1*r5)]
[(-3+1*r5), 2, -4, (-7-1*r5)]
[(-1-3*r5), (1+1*r5), -4, (0+2*r5)]
[(-1-1*r5), (3+1*r5), -2, 8]
[(-5-1*r5), (-3+1*r5), (3-1*r5), (5+1*r5)]
[-2, (3+3*r5), (5-1*r5), 0]
[(-2+2*r5), (2+2*r5), 4, (2+2*r5)]
[(-1-1*r5), (-1-3*r5), (0-2*r5), -4]
[(1+1*r5), (-3+1*r5), (3+3*r5), (3-1*r5)]
[-6, 4, (5+1*r5), (1-1*r5)]
[(-2+2*r5), (-7-1*r5), (1+1*r5), 2]
[2, (2-2*r5), (1+1*r5), (7+1*r5)]
[(-4-2*r5), -4, (-1-1*r5), (-5+1*r5)]
[(-3-1*r5), (-1-1*r5), 8, -2]
[(2+2*r5), 2, (1+3*r5), (3-1*r5)]
[(2+2*r5), (1-3*r5), 2, (3+1*r5)]
[(1+1*r5), (1-3*r5), (-5-1*r5), (-1-1*r5)]
[(3+3*r5), (-5+1*r5), -2, 0]
[(-5-1*r5), (-1-1*r5), (1-3*r5), (-1-1*r5)]
[(3-1*r5), (-5-1*r5), (-5-1*r5), (-3+1*r5)]
[(-5+1*r5), (1+1*r5), 4, (4+2*r5)]
[-2, -4, (3-1*r5), (7+1*r5)]
[(-1+1*r5), -6, (5+1*r5), -4]
[(-2+2*r5), (3-1*r5), (-4-2*r5), (3+1*r5)]
[-2, (-3-1*r5), (-2-2*r5), (-1+3*r5)]
[(-1-1*r5), (-3+1*r5), (-3+1*r5), (3+3*r5)]
[-2, (-1-1*r5), (3+1*r5), 8]
[(-3-3*r5), (1+1*r5), (-3+1*r5), (3-1*r5)]
[-6, (-3-1*r5), (-2-2*r5), (-3+1*r5)]
[(-2-2*r5), (-3-1*r5), (1-3*r5), 2]
[(3+1*r5), 2, (1-3*r5), (2+2*r5)]
[-4, (-3+1*r5), -2, (-7-1*r5)]
[(3+1*r5), 6, (3-1*r5), (2+2*r5)]
[(-3+1*r5), (2+2*r5), (1+3*r5), -2]
[0, (3-1*r5), (0-2*r5), (7+1*r5)]
[(3-1*r5), (-4-2*r5), (2-2*r5), (3+1*r5)]
[(-3-3*r5), (1-1*r5), 2, (2-2*r5)]
[(1-1*r5), (-2+2*r5), -2, (-3-3*r5)]
[(1-1*r5), (-2+2*r5), 2, (3+3*r5)]
[(5+1*r5), (1+1*r5), (1+1*r5), (-1+3*r5)]
[(3-1*r5), (-3+1*r5), (-5-1*r5), (-5-1*r5)]
[(1+1*r5), (-2+2*r5), (-7-1*r5), -2]
[(-5-1*r5), 2, (2+2*r5), (5-1*r5)]
[(-3+1*r5), (-1-3*r5), 2, (2+2*r5)]
[(-1-1*r5), 8, (-3-1*r5), -2]
[(-4-2*r5), 4, (-1-1*r5), (5-1*r5)]
[-2, (2+2*r5), (-5-1*r5), (-5+1*r5)]
[(3+3*r5), (3-1*r5), (-1-1*r5), (-3+1*r5)]
[-4, (-1-1*r5), (0+2*r5), (-1-3*r5)]
[(1-1*r5), (-5-1*r5), -4, 6]
[-4, 2, (-7-1*r5), (-3+1*r5)]
[(3+1*r5), (-4-2*r5), (3-1*r5), (2-2*r5)]
[(1+1*r5), (-3+1*r5), (3-1*r5), (3+3*r5)]
[(-5-1*r5), (0-2*r5), (2-2*r5), (-3-1*r5)]
[-6, (1-1*r5), 4, (-5-1*r5)]
[(3+1*r5), (0-2*r5), (5+1*r5), (2-2*r5)]
[(-1-3*r5), (-1-1*r5), -4, (0-2*r5)]
[(3-1*r5), (2+2*r5), (-1-3*r5), -2]
[-4, (-1+1*r5), (-5-1*r5), 6]
[(1+1*r5), (0-2*r5), -4, (-1-3*r5)]
[(0-2*r5), (-5-1*r5), (-3-1*r5), (-2+2*r5)]
[(-3-1*r5), (-2+2*r5), (-4-2*r5), (-3+1*r5)]
[(-1+1*r5), 0, (4+2*r5), (-1+3*r5)]
[(1-3*r5), (2+2*r5), (3+1*r5), -2]
[-2, (2-2*r5), (1+1*r5), (7+1*r5)]
[(1+1*r5), (5+1*r5), (-1-1*r5), (-1+3*r5)]
[(2+2*r5), (-3-1*r5), (-3+1*r5), -6]
