(0, 8, 3, 5)->[(-10000+4000*r5), (-7000+3000*r5), (3000-1000*r5), 0]
(0, 3, 5, 14, 15, 16)->[(-10000+4000*r5), (-4000+2000*r5), (-4000+2000*r5), (10000-4000*r5)]
(0, 3, 8, 11, 17, 19)->[(-10000+4000*r5), (-4000+2000*r5), (-4000+2000*r5), (-10000+4000*r5)]
(0, 3, 14, 16, 17, 19)->[(-10000+4000*r5), (-1000+1000*r5), (-11000+5000*r5), 0]
(0, 5, 8, 9, 10, 13)->[0, (-14000+6000*r5), (6000-2000*r5), 0]
(0, 5, 9, 10, 15, 16)->[0, (-11000+5000*r5), (-1000+1000*r5), (10000-4000*r5)]
(0, 8, 10, 11, 13, 19)->[0, (-11000+5000*r5), (-1000+1000*r5), (-10000+4000*r5)]
(0, 16, 10, 19)->[0, (-8000+4000*r5), (-8000+4000*r5), 0]
(16, 1, 14, 15)->[0, (3000-1000*r5), (-7000+3000*r5), (10000-4000*r5)]
(9, 2, 10, 13)->[(10000-4000*r5), (-7000+3000*r5), (3000-1000*r5), 0]
(18, 4, 12, 7)->[0, (8000-4000*r5), (8000-4000*r5), 0]
(19, 17, 11, 6)->[0, (3000-1000*r5), (-7000+3000*r5), (-10000+4000*r5)]
(1, 2, 9, 10, 15, 16)->[(10000-4000*r5), (-4000+2000*r5), (-4000+2000*r5), (10000-4000*r5)]
(2, 6, 10, 11, 13, 19)->[(10000-4000*r5), (-4000+2000*r5), (-4000+2000*r5), (-10000+4000*r5)]
(2, 4, 7, 9, 12, 13)->[(10000-4000*r5), (1000-1000*r5), (11000-5000*r5), 0]
(6, 7, 11, 12, 17, 18)->[0, (11000-5000*r5), (1000-1000*r5), (-10000+4000*r5)]
(3, 4, 5, 7, 8, 18)->[(-10000+4000*r5), (1000-1000*r5), (11000-5000*r5), 0]
(1, 6, 14, 16, 17, 19)->[0, (6000-2000*r5), (-14000+6000*r5), 0]
(1, 4, 12, 14, 15, 18)->[0, (11000-5000*r5), (1000-1000*r5), (10000-4000*r5)]
(1, 2, 6, 10, 16, 19)->[(10000-4000*r5), (-1000+1000*r5), (-11000+5000*r5), 0]
(4, 5, 7, 8, 9, 13)->[0, (-6000+2000*r5), (14000-6000*r5), 0]
(1, 2, 4, 9, 12, 15)->[(10000-4000*r5), (4000-2000*r5), (4000-2000*r5), (10000-4000*r5)]
(2, 6, 7, 11, 12, 13)->[(10000-4000*r5), (4000-2000*r5), (4000-2000*r5), (-10000+4000*r5)]
(1, 6, 12, 14, 17, 18)->[0, (14000-6000*r5), (-6000+2000*r5), 0]
(3, 4, 5, 14, 15, 18)->[(-10000+4000*r5), (4000-2000*r5), (4000-2000*r5), (10000-4000*r5)]
(3, 7, 8, 11, 17, 18)->[(-10000+4000*r5), (4000-2000*r5), (4000-2000*r5), (-10000+4000*r5)]
(9, 4, 5, 15)->[0, (-3000+1000*r5), (7000-3000*r5), (10000-4000*r5)]
(8, 11, 13, 7)->[0, (-3000+1000*r5), (7000-3000*r5), (-10000+4000*r5)]
(17, 18, 3, 14)->[(-10000+4000*r5), (7000-3000*r5), (-3000+1000*r5), 0]
(1, 2, 12, 6)->[(10000-4000*r5), (7000-3000*r5), (-3000+1000*r5), 0]
