(0, 33, 193, 72, 136, 267)->[2, 2, -2*r2, 4*r2]
(0, 256, 257, 260, 136, 269, 397, 528, 273, 532, 22, 408, 536, 537, 27, 32, 33, 288, 35, 166, 294, 44, 301, 559, 49, 437, 182, 567, 64, 449, 327, 72, 74, 203, 332, 459, 206, 213, 87, 95, 483, 489, 491, 368, 114, 371, 500, 250)->[0, 2*r2, -2, 2]
(0, 532, 284, 285, 544, 424, 301, 50, 438, 183, 58, 190, 319, 193, 449, 71, 72, 459, 461, 87, 94, 227, 489, 366)->[0, 0, -2*r2, 2*r2]
(0, 131, 7, 136, 11, 267, 527, 148, 21, 532, 411, 284, 544, 44, 175, 559, 565, 183, 311, 188, 445, 319, 447, 65, 193, 448, 452, 457, 330, 463, 210, 342, 90, 348, 349, 479, 483, 486, 231, 360, 106, 490, 109, 366, 247, 377, 251, 125)->[0, 0, 0, 4]
(556, 367, 51, 373, 313, 541)->[2, 2, -4*r2, -2*r2]
(167, 568, 76, 405, 566, 472)->[-2, 2, 4*r2, 2*r2]
(485, 40, 521, 78, 271, 279)->[0, -4, -4*r2, 0]
(69, 395, 214, 378, 571, 575)->[4, 0, -4*r2, 0]
(291, 389, 524, 558, 253, 223)->[-2, 2, 4*r2, -2*r2]
(361, 366, 50, 311, 251, 319)->[-2, -2, -2*r2, 4*r2]
(192, 100, 75, 48, 381, 415)->[4, -4, 2*r2, -2*r2]
(354, 265, 45, 375, 474, 477)->[-2, 6, 0, -2*r2]
(229, 101, 235, 339, 312, 351)->[-4, 4, 2*r2, 2*r2]
(1, 326, 138, 442, 118, 186)->[2, 6, 2*r2, 0]
(344, 140, 181, 88, 508, 184)->[-2, -6, 2*r2, 0]
(419, 228, 237, 238, 469, 412)->[2, -2, 4*r2, -2*r2]
(362, 205, 401, 308, 533, 503)->[2, -2, 2*r2, -4*r2]
(105, 531, 309, 310, 156, 542)->[4, 4, -2*r2, -2*r2]
(323, 516, 460, 337, 338, 147)->[-2, -6, 0, -2*r2]
(393, 298, 121, 218, 380, 127)->[-4, -4, -2*r2, 2*r2]
(96, 549, 518, 399, 498, 277)->[4, 0, 0, -4*r2]
(289, 194, 455, 202, 404, 374)->[-6, -2, 2*r2, 0]
(387, 208, 180, 215, 376, 382)->[6, 2, 2*r2, 0]
(99, 264, 111, 79, 216, 540)->[6, -2, 0, -2*r2]
(441, 272, 304, 115, 153, 26)->[6, -2, -2*r2, 0]
(481, 514, 328, 73, 467, 89)->[-6, 2, 0, -2*r2]
(259, 43, 462, 570, 475, 31)->[4, -4, -2*r2, 2*r2]
(132, 42, 394, 427, 239, 28)->[2, -2, 4*r2, 2*r2]
(12, 236, 270, 335, 502, 152)->[6, 2, 0, 2*r2]
(385, 133, 523, 530, 276, 407)->[-2, -2, 2*r2, -4*r2]
(293, 358, 525, 278, 59, 510)->[4, -4, -2*r2, -2*r2]
(352, 80, 400, 499, 436, 509)->[-4, -4, 2*r2, 2*r2]
(224, 490, 330, 496, 210, 349)->[4, 0, 0, 4*r2]
(357, 10, 557, 15, 242, 350)->[-6, -2, -2*r2, 0]
(512, 36, 165, 103, 82, 244)->[2, -6, 0, -2*r2]
(545, 6, 302, 402, 471, 221)->[2, 2, 2*r2, -4*r2]
(416, 145, 433, 150, 534, 280)->[2, 6, 0, -2*r2]
(520, 169, 106, 109, 377, 411)->[2, 2, 2*r2, 4*r2]
(231, 333, 175, 527, 478, 479)->[-2, -2, 2*r2, 4*r2]
(386, 37, 329, 91, 189, 126)->[2, 2, -2*r2, -4*r2]
(135, 492, 493, 18, 146, 341)->[2, -6, -2*r2, 0]
(261, 197, 39, 488, 398, 379)->[0, -4, 0, -4*r2]
(258, 262, 560, 113, 177, 120)->[-2, -2, 4*r2, 2*r2]
(295, 297, 246, 345, 507, 157)->[-6, 2, -2*r2, 0]
(355, 296, 392, 46, 432, 57)->[-4, 4, -2*r2, -2*r2]
(353, 226, 434, 307, 179, 315)->[-2, -2, -4*r2, -2*r2]
(449, 294, 437, 87, 185, 190)->[-2, 2, -4*r2, 2*r2]
(170, 143, 144, 54, 346, 60)->[-2, 2, -2*r2, -4*r2]
(482, 430, 110, 406, 535, 93)->[-2, -2, -2*r2, -4*r2]
(8, 464, 561, 501, 23, 56)->[-2, -2, 4*r2, -2*r2]
(98, 456, 211, 468, 220, 446)->[0, 4, 4*r2, 0]
(65, 7, 439, 347, 188, 445)->[0, -4, 0, 4*r2]
(102, 107, 299, 495, 209, 305)->[4, 0, 4*r2, 0]
(131, 515, 403, 21, 90, 447)->[-2, 2, 2*r2, 4*r2]
(550, 81, 116, 117, 476, 254)->[4, 4, 2*r2, -2*r2]
(483, 486, 44, 500, 213, 342)->[0, 4, 0, 4*r2]
(519, 360, 11, 428, 148, 565)->[2, -2, 2*r2, 4*r2]
(420, 425, 396, 435, 440, 473)->[-4, 0, 4*r2, 0]
(322, 163, 198, 444, 316, 318)->[6, -2, 0, 2*r2]
(421, 70, 104, 137, 119, 572)->[-6, 2, 0, 2*r2]
(32, 458, 465, 371, 22, 250)->[2, 6, 0, 2*r2]
(513, 546, 324, 426, 52, 53)->[-4, 0, 0, -4*r2]
(5, 457, 494, 247, 348, 125)->[-4, 0, 0, 4*r2]
(230, 263, 234, 526, 336, 30)->[2, 2, 4*r2, -2*r2]
(292, 363, 77, 112, 370, 504)->[-6, 2, 2*r2, 0]
(484, 199, 13, 505, 282, 191)->[-4, -4, -2*r2, -2*r2]
(453, 423, 200, 429, 207, 85)->[-2, 6, 2*r2, 0]
(128, 388, 9, 142, 529, 63)->[6, 2, 0, -2*r2]
