(0, 5, 7, 81, 19, 58)->[2, 2, 4*r2, 2*r2]
(0, 130, 5, 7, 137, 19)->[0, 2*r2, 6, 2]
(0, 5, 38, 135, 76, 81)->[2*r2, 2*r2, 4, 0]
(0, 130, 5, 38, 137, 126)->[0, 4, 4*r2, 0]
(0, 74, 110, 81, 19, 58)->[2*r2, 2*r2, 4, 4]
(0, 130, 74, 108, 19, 59)->[0, 4, 2*r2, 2*r2]
(0, 38, 103, 135, 108, 124)->[2, 6, 2*r2, 0]
(0, 130, 38, 103, 108, 126)->[0, 4*r2, 4, 0]
(0, 135, 74, 110, 81, 54)->[4, 4, 2*r2, 2*r2]
(0, 135, 74, 108, 54, 124)->[2*r2, 4*r2, 2, 2]
(35, 13, 110, 80, 54, 57)->[6, 2, 0, 2*r2]
(40, 9, 73, 107, 109, 89)->[0, -4, 0, 4*r2]
(129, 101, 13, 57, 29, 63)->[6, -2, 0, 2*r2]
(131, 100, 15, 116, 86, 88)->[2, -6, 0, -2*r2]
(34, 66, 131, 39, 15, 84)->[0, -4, 0, -4*r2]
(32, 75, 79, 80, 54, 30)->[4, 4, -2*r2, 2*r2]
(65, 34, 84, 117, 118, 91)->[-2, -2, -2*r2, -4*r2]
(132, 9, 106, 52, 22, 89)->[-2, -2, -2*r2, 4*r2]
(58, 68, 7, 143, 49, 26)->[2, -2, 4*r2, 2*r2]
(33, 131, 133, 82, 116, 53)->[4, -4, -2*r2, -2*r2]
(43, 77, 113, 84, 56, 91)->[-4, 0, 0, -4*r2]
(129, 58, 73, 10, 107, 26)->[2, -2, 2*r2, 4*r2]
(4, 5, 38, 71, 76, 114)->[2, 2, 4*r2, -2*r2]
(2, 36, 41, 43, 77, 122)->[-6, 2, 0, -2*r2]
(1, 33, 133, 105, 118, 125)->[2, -2, -4*r2, -2*r2]
(99, 7, 45, 78, 18, 26)->[-2, -2, 4*r2, 2*r2]
(100, 37, 134, 46, 143, 86)->[2, -6, 2*r2, 0]
(33, 105, 42, 140, 115, 123)->[0, -4, -4*r2, 0]
(48, 115, 88, 123, 60, 31)->[-2, -6, -2*r2, 0]
(132, 136, 138, 89, 123, 60)->[-4, -4, -2*r2, 2*r2]
(71, 137, 44, 114, 21, 126)->[-2, 2, 4*r2, -2*r2]
(1, 70, 72, 141, 23, 125)->[2, 2, -4*r2, -2*r2]
(47, 50, 116, 53, 87, 29)->[6, -2, 0, -2*r2]
(128, 59, 74, 75, 25, 27)->[0, 4, 0, 4*r2]
(65, 42, 115, 118, 24, 125)->[-2, -2, -4*r2, -2*r2]
(64, 4, 37, 71, 49, 120)->[2, -2, 4*r2, -2*r2]
