(0, 97, 69, 39, 53, 117)->[2*r2, 0, -2, -6]
(0, 131, 39, 117, 53, 118)->[2, -2, -2*r2, -4*r2]
(0, 69, 133, 73, 50, 53)->[4, 0, -2*r2, -2*r2]
(0, 33, 131, 133, 53, 118)->[2*r2, -2*r2, -4, -4]
(0, 69, 70, 73, 141, 19)->[2*r2, 2*r2, -4, -4]
(0, 97, 69, 141, 19, 117)->[2, 2, -2*r2, -4*r2]
(0, 70, 73, 141, 23, 125)->[2, 2, -4*r2, -2*r2]
(0, 133, 73, 105, 23, 125)->[2*r2, 0, -6, -2]
(0, 65, 141, 117, 118, 125)->[0, 0, -4, -4]
(0, 33, 133, 105, 118, 125)->[2, -2, -4*r2, -2*r2]
(11, 142, 121, 122, 92, 62)->[-4*r2, 2*r2, 2, 2]
(35, 3, 69, 73, 50, 30)->[4*r2, 2*r2, -2, -2]
(6, 103, 104, 16, 19, 119)->[0, 4*r2, 0, -4]
(128, 9, 10, 78, 18, 121)->[-2*r2, 0, 2, 6]
(35, 13, 79, 80, 54, 30)->[4*r2, 2*r2, -2, 2]
(34, 131, 39, 84, 117, 118)->[0, -2*r2, -2, -6]
(32, 75, 79, 80, 51, 55)->[2*r2, 2*r2, -4, 4]
(132, 136, 106, 21, 89, 123)->[-2*r2, -2*r2, -4, 4]
(65, 43, 84, 117, 56, 91)->[-2*r2, 0, -2, -6]
(106, 51, 24, 127, 94, 95)->[-2*r2, 2*r2, -4, 4]
(2, 8, 136, 25, 90, 94)->[-4*r2, 0, -4, 0]
(40, 72, 46, 110, 48, 89)->[0, -4*r2, 0, 4]
(6, 103, 41, 126, 61, 62)->[-2*r2, 4*r2, 2, -2]
(129, 10, 107, 109, 58, 27)->[2*r2, 0, 2, 6]
(3, 38, 103, 135, 16, 124)->[2*r2, 4*r2, 2, -2]
(35, 135, 109, 81, 54, 57)->[4*r2, 2*r2, 2, 2]
(104, 41, 139, 14, 119, 61)->[-2*r2, 4*r2, -2, -2]
(4, 68, 7, 49, 81, 58)->[2*r2, 0, 6, 2]
(128, 75, 51, 52, 24, 27)->[0, 2*r2, -2, 6]
(96, 98, 36, 112, 113, 93)->[-4*r2, -2*r2, 2, -2]
(2, 36, 43, 77, 113, 91)->[-4*r2, 0, 0, -4]
(65, 43, 141, 14, 119, 90)->[-2*r2, 2*r2, -4, -4]
(133, 82, 50, 116, 53, 29)->[4*r2, -2*r2, -2, -2]
(72, 9, 10, 107, 110, 26)->[0, -2*r2, 2, 6]
(97, 67, 5, 39, 85, 88)->[2*r2, 0, 2, -6]
(64, 37, 5, 15, 88, 120)->[2*r2, -2*r2, 4, -4]
(32, 12, 51, 23, 28, 127)->[0, 2*r2, -6, 2]
(105, 42, 140, 21, 123, 28)->[0, -2*r2, -6, 2]
(33, 140, 48, 115, 87, 123)->[0, -4*r2, -4, 0]
(66, 39, 15, 84, 85, 120)->[0, -2*r2, 2, -6]
(100, 134, 72, 46, 143, 63)->[2*r2, -4*r2, 2, 2]
(129, 58, 68, 72, 143, 26)->[2*r2, -2*r2, 4, 4]
(101, 107, 80, 52, 55, 27)->[2*r2, 0, -2, 6]
(101, 102, 13, 82, 29, 63)->[4*r2, -2*r2, -2, 2]
(33, 105, 42, 115, 118, 125)->[0, -2*r2, -6, -2]
(66, 98, 112, 83, 86, 31)->[-2*r2, -4*r2, 2, -2]
(37, 44, 46, 143, 83, 86)->[0, -4*r2, 4, 0]
(128, 27, 10, 74, 20, 59)->[0, 2*r2, 2, 6]
(96, 71, 137, 45, 17, 22)->[-2*r2, 0, 6, -2]
(99, 44, 78, 110, 18, 26)->[-2*r2, -2*r2, 4, 4]
(32, 70, 104, 14, 111, 127)->[0, 4*r2, -4, 0]
(74, 75, 108, 111, 24, 59)->[0, 4*r2, 0, 4]
(132, 8, 136, 138, 60, 93)->[-4*r2, -2*r2, -2, 2]
(34, 66, 131, 15, 86, 87)->[0, -4*r2, 0, -4]
(133, 102, 73, 13, 79, 50)->[4*r2, 0, -4, 0]
(130, 108, 59, 92, 61, 62)->[-2*r2, 4*r2, 2, 2]
(129, 101, 109, 13, 80, 57)->[4*r2, 0, 0, 4]
(35, 67, 3, 135, 76, 47)->[4*r2, 2*r2, 2, -2]
(132, 8, 142, 18, 121, 95)->[-4*r2, 0, 0, 4]
(77, 113, 84, 85, 22, 56)->[-2*r2, 0, 2, -6]
(33, 131, 100, 82, 116, 87)->[2*r2, -4*r2, -2, -2]
(64, 68, 76, 47, 81, 57)->[4*r2, 0, 4, 0]
(136, 42, 106, 12, 28, 94)->[-2*r2, 0, -6, 2]
(4, 38, 71, 137, 114, 126)->[0, 2*r2, 6, -2]
(97, 6, 16, 114, 85, 56)->[0, 2*r2, 2, -6]
(7, 44, 143, 17, 49, 26)->[0, -2*r2, 6, 2]
(102, 105, 79, 23, 55, 28)->[2*r2, 0, -6, 2]
(65, 42, 12, 25, 90, 125)->[-2*r2, 0, -6, -2]
(1, 74, 109, 81, 20, 58)->[2*r2, 2*r2, 4, 4]
(34, 98, 115, 87, 60, 31)->[-2*r2, -4*r2, -2, -2]
(138, 44, 110, 46, 112, 31)->[-2*r2, -4*r2, 2, 2]
(64, 134, 47, 116, 88, 29)->[4*r2, -2*r2, 2, -2]
(70, 12, 141, 14, 23, 125)->[0, 2*r2, -6, -2]
(99, 7, 137, 11, 78, 17)->[-2*r2, 0, 6, 2]
(99, 138, 142, 112, 18, 93)->[-4*r2, -2*r2, 2, 2]
(32, 75, 111, 54, 124, 30)->[2*r2, 4*r2, -2, 2]
(100, 37, 134, 15, 116, 86)->[2*r2, -4*r2, 2, -2]
(6, 77, 45, 114, 22, 126)->[-2*r2, 2*r2, 4, -4]
(1, 135, 74, 108, 54, 124)->[2*r2, 4*r2, 2, 2]
(96, 66, 113, 83, 22, 120)->[-2*r2, -2*r2, 4, -4]
(2, 98, 25, 91, 60, 93)->[-4*r2, -2*r2, -2, -2]
(64, 4, 5, 71, 76, 49)->[2*r2, 0, 6, -2]
(3, 70, 104, 19, 124, 30)->[2*r2, 4*r2, -2, -2]
(129, 68, 134, 57, 29, 63)->[4*r2, -2*r2, 2, 2]
(8, 139, 122, 92, 94, 95)->[-4*r2, 2*r2, -2, 2]
