[1093, 1138]
[1113, 1139]
[1115, 1136]
[1029, 1132]
[1031, 1101]
[1040, 1052]
[1043, 1085]
[1045, 1129]
[1049, 1102]
[1050, 1108]
[1062, 1116]
[1063, 1089]
[1068, 1085]
[1069, 1145]
[1073, 1100]
[977, 994]
[978, 1119]
[980, 1099]
[987, 1034]
[989, 1044]
[997, 1032]
[1000, 1016]
[1010, 1047]
[1014, 1056]
[1017, 1149]
[1018, 1087]
[1020, 1075]
[915, 1040]
[918, 1144]
[920, 1080]
[922, 963]
[925, 1100]
[927, 1086]
[928, 1076]
[929, 1054]
[929, 1110]
[934, 955]
[934, 1134]
[946, 1072]
[947, 959]
[952, 1105]
[953, 955]
[953, 1134]
[957, 1090]
[961, 1064]
[966, 1119]
[967, 1077]
[856, 891]
[856, 956]
[860, 979]
[861, 1144]
[862, 1013]
[864, 1012]
[866, 984]
[868, 1070]
[870, 994]
[872, 897]
[872, 965]
[874, 997]
[876, 941]
[877, 1021]
[878, 1026]
[878, 1117]
[879, 964]
[880, 1012]
[881, 1061]
[883, 1006]
[884, 1077]
[885, 985]
[887, 1096]
[888, 996]
[889, 935]
[889, 1053]
[898, 960]
[899, 1008]
[900, 962]
[900, 1125]
[901, 1095]
[903, 1066]
[904, 1038]
[905, 1039]
[906, 985]
[908, 919]
[909, 986]
[911, 950]
[456, 781]
[456, 1087]
[458, 543]
[458, 707]
[459, 592]
[459, 942]
[460, 633]
[460, 947]
[461, 500]
[462, 559]
[463, 488]
[464, 926]
[464, 1030]
[465, 744]
[465, 899]
[466, 560]
[467, 648]
[468, 1009]
[469, 951]
[470, 694]
[470, 903]
[472, 792]
[473, 802]
[474, 804]
[474, 1044]
[475, 561]
[477, 688]
[478, 975]
[479, 901]
[480, 542]
[480, 1041]
[481, 926]
[481, 1030]
[482, 602]
[482, 623]
[484, 1148]
[485, 1004]
[485, 1106]
[486, 1048]
[487, 688]
[488, 851]
[489, 725]
[491, 511]
[491, 1060]
[492, 495]
[492, 520]
[493, 598]
[493, 894]
[494, 811]
[494, 1136]
[497, 574]
[497, 764]
[498, 793]
[498, 1098]
[501, 646]
[502, 1031]
[503, 971]
[503, 976]
[504, 542]
[504, 1041]
[505, 1070]
[506, 1061]
[507, 547]
[507, 562]
[508, 874]
[508, 1032]
[509, 1042]
[510, 696]
[512, 1109]
[799, 1105]
[800, 864]
[800, 880]
[801, 822]
[804, 989]
[805, 1037]
[806, 894]
[807, 1022]
[808, 1111]
[809, 1133]
[810, 1104]
[811, 1115]
[815, 1102]
[817, 1079]
[818, 946]
[819, 1048]
[821, 1098]
[823, 981]
[824, 863]
[824, 1122]
[825, 933]
[828, 1024]
[831, 835]
[832, 961]
[833, 896]
[836, 857]
[836, 958]
[837, 935]
[837, 1053]
[841, 1058]
[842, 1021]
[844, 966]
[844, 978]
[849, 1094]
[853, 870]
[853, 977]
[742, 845]
[744, 1008]
[745, 852]
[747, 1074]
[748, 846]
[749, 987]
[752, 1011]
[753, 786]
[755, 914]
[757, 1043]
[757, 1068]
[758, 787]
[758, 1045]
[760, 831]
[761, 1025]
[762, 919]
[765, 839]
[765, 969]
[767, 858]
[768, 1011]
[769, 892]
