[52, 46, 9, 37, 0]
[0, 37, 59, 14, 43, 55]
[55, 11, 29, 7, 52, 0]
[16, 57, 20, 10, 1]
[1, 10, 23, 42, 38, 15]
[1, 15, 45, 26, 6, 16]
[2, 25, 6, 26, 33]
[51, 43, 14, 17, 25, 2]
[2, 33, 41, 40, 47, 51]
[39, 13, 7, 29, 3]
[3, 29, 11, 47, 40, 31]
[3, 31, 12, 35, 22, 39]
[4, 5, 30, 28, 24, 44]
[58, 50, 53, 34, 5, 4]
[4, 44, 8, 27, 58]
[34, 42, 23, 30, 5]
[25, 17, 19, 57, 16, 6]
[7, 13, 27, 8, 46, 52]
[8, 44, 24, 49, 9, 46]
[49, 56, 32, 59, 37, 9]
[10, 20, 21, 28, 30, 23]
[55, 43, 51, 47, 11]
[12, 31, 40, 41, 48]
[48, 18, 54, 36, 35, 12]
[39, 22, 50, 58, 27, 13]
[59, 32, 19, 17, 14]
[15, 38, 54, 18, 45]
[48, 41, 33, 26, 45, 18]
[19, 32, 56, 21, 20, 57]
[56, 49, 24, 28, 21]
[22, 35, 36, 53, 50]
[53, 36, 54, 38, 42, 34]
