(0, 2209, 4994, 3818, 3756, 4112, 2292, 3702, 5241, 3036)->[(-1+1*r5), -2, (5+1*r5), 0]
(0, 6400, 3716, 5764, 4423, 3756, 2452, 2292, 7061, 6426, 3036, 1854)->[0, (2-2*r5), (2+2*r5), 0]
(0, 772, 5764, 6406, 4491, 4622, 4112, 5776, 1554, 3347, 5267, 6162, 1816, 6169, 6426, 3227, 4123, 6557, 2079, 3744, 6047, 5156, 4261, 38, 2088, 1321, 4394, 683, 811, 2099, 3256, 5178, 5179, 1855, 4675, 6855, 331, 5451, 5835, 4433, 3666, 3027, 2133, 6233, 4450, 3942, 999, 5480, 3945, 5740, 365, 2798, 111, 3826, 2292, 3702, 247, 2936, 5241, 4990)->[(-1+1*r5), -2, (1+1*r5), 0]
(0, 5345, 68, 4423, 1993, 3756, 3247, 5776, 2452, 7061, 6426, 4702)->[0, -2, (3+1*r5), (3-1*r5)]
(0, 738, 4994, 68, 3588, 1993, 3756, 5776, 5241, 2202, 4702, 6047)->[(3-1*r5), -2, (2+2*r5), (-1+1*r5)]
(5250, 5925, 4970, 6570, 3724, 7051, 4912, 4915, 4215, 5915)->[(1+1*r5), (-3-1*r5), (0-2*r5), 0]
(608, 5313, 7076, 393, 4588, 3759, 2832, 2991, 4085, 4921)->[(1-1*r5), -2, (-1-1*r5), (-2-2*r5)]
(2083, 6631, 1322, 3244, 559, 3858, 3029, 1243, 1596, 3998)->[(-1+1*r5), -2, (1+1*r5), (-2-2*r5)]
(2657, 4577, 6790, 5137, 1141, 952, 3641, 7034, 4764, 831)->[(1+1*r5), (-3-1*r5), 2, -4]
(3937, 2948, 4071, 6857, 6953, 624, 3604, 217, 5469, 6302)->[2, (1-1*r5), (2+2*r5), (1+1*r5)]
(2149, 4709, 3147, 3788, 5099, 880, 1712, 2097, 1971, 1278)->[-2, (-1-1*r5), (-3-1*r5), 4]
(4224, 5472, 4930, 3277, 6030, 6256, 1490, 2931, 437, 5563)->[(1+1*r5), (0+2*r5), 0, (-3-1*r5)]
(513, 1351, 815, 5648, 1233, 6095, 2006, 1783, 5305, 190)->[(3+1*r5), (-3-1*r5), (1-1*r5), (-1+1*r5)]
(4514, 3781, 3311, 5328, 2066, 2163, 4724, 6994, 1047, 4088)->[-2, (1-1*r5), (2+2*r5), (1+1*r5)]
(2337, 2115, 1797, 2981, 1161, 6444, 7116, 1265, 7090, 4857)->[(1+1*r5), 2, (-2-2*r5), (-1+1*r5)]
(6656, 3042, 2403, 7171, 1125, 1226, 5547, 468, 2008, 4827)->[(-5-1*r5), (1-1*r5), -2, 0]
(4162, 452, 3589, 4228, 3212, 3024, 114, 4404, 3611, 283)->[(3+1*r5), 0, (0-2*r5), (-1-1*r5)]
(425, 3564, 3278, 5358, 3251, 531, 533, 2710, 4024, 4923)->[(-1-1*r5), (-3-1*r5), -2, 4]
(5409, 516, 3397, 6917, 6601, 6001, 6867, 4244, 5463, 4699)->[-2, 4, (1+1*r5), (-3-1*r5)]
(3231, 2625, 3685, 1001, 1615, 560, 6042, 5053, 1342, 2623)->[(3+1*r5), (-1-1*r5), 0, (0-2*r5)]
(5152, 3425, 2210, 3011, 4841, 2762, 6572, 1618, 564, 6173)->[(-1-1*r5), -2, 4, (-3-1*r5)]
(6661, 616, 426, 496, 1173, 4374, 3063, 4729, 2396, 3934)->[(-1+1*r5), (1+1*r5), (2+2*r5), -2]
(4482, 3462, 3436, 816, 2484, 5556, 1718, 793, 1754, 4447)->[(2+2*r5), 0, 0, -4]
(2502, 3622, 4988, 3274, 3979, 2451, 6837, 1430, 6038, 1852)->[(-5-1*r5), (1-1*r5), 2, 0]
(1317, 6693, 6298, 6892, 4589, 3764, 1748, 5018, 92, 1725)->[0, (0+2*r5), (-3-1*r5), (1+1*r5)]
(3746, 2893, 6576, 6961, 2998, 4375, 4056, 5851, 3485, 94)->[(1+1*r5), 0, (-3-1*r5), (0+2*r5)]
(3778, 3938, 2666, 6604, 2573, 6926, 882, 4280, 5661, 1247)->[(1+1*r5), (-2-2*r5), (-1+1*r5), 2]
(6820, 3941, 4745, 5034, 848, 1200, 3668, 472, 3257, 2235)->[-2, (-2-2*r5), (1+1*r5), (1-1*r5)]
(289, 4451, 4200, 4232, 5770, 6059, 5804, 2801, 1234, 5210)->[(-2-2*r5), 0, 0, 4]
(5793, 4713, 2314, 2443, 3502, 370, 2642, 2004, 1876, 3031)->[2, (-1-1*r5), (-1+1*r5), (2+2*r5)]
(6307, 1703, 6535, 4937, 6290, 3603, 61, 7155, 187, 3037)->[(3+1*r5), 4, -2, (1+1*r5)]
(4933, 4873, 2924, 5997, 5039, 6427, 4625, 4633, 1787, 5118)->[4, (-1-1*r5), 2, (-3-1*r5)]
(961, 7012, 4229, 5319, 1769, 5035, 6294, 4279, 1048, 510)->[(0-2*r5), 0, (1+1*r5), (3+1*r5)]
(769, 1857, 620, 1293, 3373, 6668, 918, 3610, 2908, 830)->[(3+1*r5), (1-1*r5), (-1+1*r5), (-3-1*r5)]
(1793, 6788, 2053, 2853, 6470, 6922, 6450, 3220, 949, 3990)->[2, (-1-1*r5), (-1+1*r5), (-2-2*r5)]
(6915, 5446, 6249, 1099, 7154, 4341, 2168, 3129, 5021, 5663)->[0, -4, (-2-2*r5), 0]
(4965, 2087, 2541, 3374, 2511, 4304, 6581, 791, 6327, 794)->[(0+2*r5), (3+1*r5), 0, (1+1*r5)]
(6784, 610, 3878, 2567, 3176, 4877, 2094, 4882, 2580, 3989)->[-2, (3+1*r5), -4, (-1-1*r5)]
(197, 4809, 1486, 4369, 180, 3388, 6614, 2873, 2779, 3356)->[4, 0, 0, (-2-2*r5)]
(2593, 4772, 6439, 4520, 4842, 5870, 4659, 4438, 7165, 4671)->[(-3-1*r5), (-3-1*r5), (1-1*r5), (-1+1*r5)]
(1824, 3205, 1863, 1675, 748, 6413, 2766, 7152, 178, 3001)->[-4, -2, (-3-1*r5), (1+1*r5)]
(2817, 226, 4194, 3140, 3332, 1543, 6346, 5901, 3054, 2879)->[(-1-1*r5), (0+2*r5), 0, (-3-1*r5)]
(5536, 6692, 5254, 5703, 1928, 2958, 1584, 2547, 2676, 7101)->[(-1-1*r5), -2, (-2-2*r5), (-1+1*r5)]
(2850, 4998, 3241, 2985, 1451, 3593, 3439, 4946, 3414, 6006)->[2, (-1+1*r5), 0, (5+1*r5)]
(5475, 4837, 3015, 235, 4876, 5516, 7120, 4344, 5531, 3132)->[(1+1*r5), (3+1*r5), (0+2*r5), 0]
(4548, 1253, 6054, 715, 4046, 2745, 3123, 313, 6458, 155)->[0, (1+1*r5), (0+2*r5), (3+1*r5)]
(3395, 6725, 710, 3687, 4391, 970, 2960, 6194, 5078, 6299)->[0, (3+1*r5), (1+1*r5), (0-2*r5)]
(1217, 2338, 6465, 796, 5783, 53, 2007, 1404, 2269, 4191)->[(-1-1*r5), 2, -4, (-3-1*r5)]
(3109, 5799, 3342, 4110, 1874, 411, 1626, 219, 381, 6622)->[(3+1*r5), (1+1*r5), 0, (0-2*r5)]
(2147, 1068, 4524, 1910, 2582, 2680, 2329, 828, 2526, 2047)->[(5+1*r5), (1-1*r5), 2, 0]
(1508, 424, 1256, 5705, 1484, 6382, 626, 4628, 1269, 5718)->[-2, (-5-1*r5), (1-1*r5), 0]
(6432, 7041, 5019, 4165, 4135, 4302, 3087, 5775, 2459, 126)->[0, (-1+1*r5), (5+1*r5), -2]
(5004, 6687, 1362, 755, 5460, 6196, 2999, 3287, 6974, 1946)->[(1-1*r5), (-2-2*r5), 2, (-1-1*r5)]
(1089, 833, 1956, 6921, 330, 1228, 2833, 6515, 4733, 3582)->[-4, 0, 0, (2+2*r5)]
(352, 4645, 5771, 1772, 6031, 2000, 5073, 5042, 5298, 2431)->[(5+1*r5), 0, (-1+1*r5), -2]
(4132, 3077, 6793, 1999, 6385, 51, 5590, 2425, 5787, 925)->[4, (-3-1*r5), (-1-1*r5), 2]
(2240, 3651, 878, 1938, 2834, 2264, 6009, 3965, 2686, 3743)->[(-2-2*r5), (-1+1*r5), (1+1*r5), 2]
(7074, 4746, 5868, 3086, 6958, 1552, 6931, 4022, 1050, 5279)->[(-5-1*r5), -2, 0, (-1+1*r5)]
(2432, 3879, 938, 5371, 2707, 1428, 6487, 3833, 1371, 4830)->[(1+1*r5), -4, (-3-1*r5), -2]
(6017, 5988, 202, 2670, 2030, 5326, 6670, 2482, 4690, 6644)->[(-2-2*r5), -4, 0, 0]
(869, 5351, 5831, 4748, 6254, 847, 2928, 5117, 6494, 3967)->[-2, (1-1*r5), (2+2*r5), (-1-1*r5)]
