x,y,dir,ref,pt
-64,1.73205080757,2,False,3
-64,1.73205080757,8,True,11
-65.5,0.866025403784,6,False,7
-64,1.73205080757,4,False,7
-62.5,0.866025403784,2,False,7
-59.5,-2.59807621135,0,False,7
-61,-3.46410161514,10,False,7
-68.5,7.79422863406,6,False,3
-68.5,7.79422863406,4,True,11
-67,6.92820323028,10,False,7
-68.5,7.79422863406,8,False,7
-68.5,9.52627944163,6,False,7
-67,13.8564064606,4,False,7
-65.5,12.9903810568,2,False,7
-68.5,12.9903810568,6,False,7
-59.5,7.79422863406,4,False,3
-59.5,7.79422863406,6,True,11
-59.5,6.06217782649,8,False,7
-59.5,7.79422863406,6,False,7
-58,8.66025403784,4,False,7
-53.5,9.52627944163,2,False,7
-53.5,7.79422863406,0,False,7
-55,10.3923048454,4,False,7
-55,6.77236045021e-15,2,False,3
-55,6.77236045021e-15,8,True,11
-56.5,-0.866025403784,6,False,7
-55,6.77236045021e-15,4,False,7
-53.5,-0.866025403784,2,False,7
-50.5,-4.33012701892,0,False,7
-52,-5.19615242271,10,False,7
-50.5,-2.59807621135,2,False,7
-47.5,-11.2583302492,0,False,3
-47.5,-11.2583302492,10,True,11
-49,-10.3923048454,4,False,7
-47.5,-11.2583302492,2,False,7
-47.5,-12.9903810568,0,False,7
-49,-17.3205080757,10,False,7
-50.5,-16.4544826719,8,False,7
-47.5,-16.4544826719,0,False,7
-56.5,-11.2583302492,10,False,3
-56.5,-11.2583302492,0,True,11
-56.5,-9.52627944163,2,False,7
-56.5,-11.2583302492,0,False,7
-58,-12.124355653,10,False,7
-62.5,-12.9903810568,8,False,7
-62.5,-11.2583302492,6,False,7
-61,-13.8564064606,10,False,7
-71.5,19.918584287,6,False,3
-71.5,19.918584287,4,True,11
-70,19.0525588833,10,False,7
-71.5,19.918584287,8,False,7
-71.5,21.6506350946,6,False,7
-70,25.9807621135,4,False,7
-68.5,25.1147367097,2,False,7
-74.5,12.9903810568,10,False,3
-74.5,12.9903810568,0,True,11
-74.5,14.7224318643,2,False,7
-74.5,12.9903810568,0,False,7
-76,12.124355653,10,False,7
-80.5,11.2583302492,8,False,7
-80.5,12.9903810568,6,False,7
-79,10.3923048454,10,False,7
-79,20.7846096908,8,False,3
-79,20.7846096908,2,True,11
-77.5,21.6506350946,0,False,7
-79,20.7846096908,10,False,7
-80.5,21.6506350946,8,False,7
-83.5,25.1147367097,6,False,7
-82,25.9807621135,4,False,7
-83.5,23.3826859022,8,False,7
-74.5,28.5788383249,6,False,3
-74.5,28.5788383249,4,True,11
-73,27.7128129211,10,False,7
-74.5,28.5788383249,8,False,7
-74.5,30.3108891325,6,False,7
-73,34.6410161514,4,False,7
-71.5,33.7749907476,2,False,7
