x,y,dir,ref,pt
33.5,54.5596004384,10,False,3
33.5,54.5596004384,0,True,11
33.5,56.291651246,2,False,7
33.5,54.5596004384,0,False,7
32,53.6935750346,10,False,7
27.5,52.8275496309,8,False,7
27.5,54.5596004384,6,False,7
41,55.4256258422,2,False,3
41,55.4256258422,8,True,11
39.5,54.5596004384,6,False,7
41,55.4256258422,4,False,7
42.5,54.5596004384,2,False,7
45.5,51.0954988233,0,False,7
44,50.2294734195,10,False,7
45.5,52.8275496309,2,False,7
36.5,47.6313972081,0,False,3
36.5,47.6313972081,10,True,11
35,48.4974226119,4,False,7
36.5,47.6313972081,2,False,7
36.5,45.8993464006,0,False,7
35,41.5692193817,10,False,7
33.5,42.4352447854,8,False,7
36.5,42.4352447854,0,False,7
27.5,47.6313972081,10,False,3
27.5,47.6313972081,0,True,11
27.5,49.3634480157,2,False,7
27.5,47.6313972081,0,False,7
26,46.7653718044,10,False,7
21.5,45.8993464006,8,False,7
21.5,47.6313972081,6,False,7
23,45.0333209968,10,False,7
14,46.7653718044,8,False,3
14,46.7653718044,2,True,11
15.5,47.6313972081,0,False,7
14,46.7653718044,10,False,7
12.5,47.6313972081,8,False,7
9.5,51.0954988233,6,False,7
11,51.9615242271,4,False,7
9.5,49.3634480157,8,False,7
18.5,54.5596004384,6,False,3
18.5,54.5596004384,4,True,11
20,53.6935750346,10,False,7
18.5,54.5596004384,8,False,7
18.5,56.291651246,6,False,7
20,60.6217782649,4,False,7
21.5,59.7557528611,2,False,7
18.5,59.7557528611,6,False,7
53,51.9615242271,2,False,3
53,51.9615242271,8,True,11
51.5,51.0954988233,6,False,7
53,51.9615242271,4,False,7
54.5,51.0954988233,2,False,7
57.5,47.6313972081,0,False,7
56,46.7653718044,10,False,7
48.5,58.0237020536,6,False,3
48.5,58.0237020536,4,True,11
50,57.1576766498,10,False,7
48.5,58.0237020536,8,False,7
48.5,59.7557528611,6,False,7
50,64.08587988,4,False,7
51.5,63.2198544763,2,False,7
48.5,63.2198544763,6,False,7
57.5,58.0237020536,4,False,3
57.5,58.0237020536,6,True,11
57.5,56.291651246,8,False,7
57.5,58.0237020536,6,False,7
59,58.8897274573,4,False,7
63.5,59.7557528611,2,False,7
63.5,58.0237020536,0,False,7
62,60.6217782649,4,False,7
62,50.2294734195,2,False,3
62,50.2294734195,8,True,11
60.5,49.3634480157,6,False,7
62,50.2294734195,4,False,7
63.5,49.3634480157,2,False,7
66.5,45.8993464006,0,False,7
65,45.0333209968,10,False,7
66.5,47.6313972081,2,False,7
69.5,38.9711431703,0,False,3
69.5,38.9711431703,10,True,11
68,39.8371685741,4,False,7
69.5,38.9711431703,2,False,7
69.5,37.2390923627,0,False,7
68,32.9089653438,10,False,7
66.5,33.7749907476,8,False,7
69.5,33.7749907476,0,False,7
60.5,38.9711431703,10,False,3
60.5,38.9711431703,0,True,11
60.5,40.7031939779,2,False,7
60.5,38.9711431703,0,False,7
59,38.1051177665,10,False,7
54.5,37.2390923627,8,False,7
54.5,38.9711431703,6,False,7
56,36.3730669589,10,False,7
74,46.7653718044,2,False,3
74,46.7653718044,8,True,11
72.5,45.8993464006,6,False,7
74,46.7653718044,4,False,7
75.5,45.8993464006,2,False,7
78.5,42.4352447854,0,False,7
77,41.5692193817,10,False,7
78.5,44.167295593,2,False,7
39.5,35.5070415552,0,False,3
39.5,35.5070415552,10,True,11
38,36.3730669589,4,False,7
39.5,35.5070415552,2,False,7
39.5,33.7749907476,0,False,7
38,29.4448637287,10,False,7
36.5,30.3108891325,8,False,7
42.5,42.4352447854,4,False,3
42.5,42.4352447854,6,True,11
42.5,40.7031939779,8,False,7
42.5,42.4352447854,6,False,7
44,43.3012701892,4,False,7
48.5,44.167295593,2,False,7
48.5,42.4352447854,0,False,7
47,45.0333209968,4,False,7
47,34.6410161514,2,False,3
47,34.6410161514,8,True,11
45.5,33.7749907476,6,False,7
47,34.6410161514,4,False,7
48.5,33.7749907476,2,False,7
51.5,30.3108891325,0,False,7
50,29.4448637287,10,False,7
51.5,32.04293994,2,False,7
42.5,26.8467875173,0,False,3
42.5,26.8467875173,10,True,11
41,27.7128129211,4,False,7
42.5,26.8467875173,2,False,7
42.5,25.1147367097,0,False,7
41,20.7846096908,10,False,7
39.5,21.6506350946,8,False,7
42.5,21.6506350946,0,False,7
36.5,14.7224318643,10,False,3
36.5,14.7224318643,0,True,11
36.5,16.4544826719,2,False,7
36.5,14.7224318643,0,False,7
35,13.8564064606,10,False,7
30.5,12.9903810568,8,False,7
30.5,14.7224318643,6,False,7
32,12.124355653,10,False,7
32,22.5166604984,8,False,3
32,22.5166604984,2,True,11
33.5,23.3826859022,0,False,7
32,22.5166604984,10,False,7
30.5,23.3826859022,8,False,7
27.5,26.8467875173,6,False,7
29,27.7128129211,4,False,7
27.5,25.1147367097,8,False,7
45.5,14.7224318643,0,False,3
45.5,14.7224318643,10,True,11
44,15.5884572681,4,False,7
45.5,14.7224318643,2,False,7
45.5,12.9903810568,0,False,7
44,8.66025403784,10,False,7
42.5,9.52627944163,8,False,7
45.5,9.52627944163,0,False,7
18.5,38.9711431703,10,False,3
18.5,38.9711431703,0,True,11
18.5,40.7031939779,2,False,7
18.5,38.9711431703,0,False,7
17,38.1051177665,10,False,7
12.5,37.2390923627,8,False,7
12.5,38.9711431703,6,False,7
26,39.8371685741,2,False,3
26,39.8371685741,8,True,11
24.5,38.9711431703,6,False,7
26,39.8371685741,4,False,7
27.5,38.9711431703,2,False,7
30.5,35.5070415552,0,False,7
29,34.6410161514,10,False,7
30.5,37.2390923627,2,False,7
21.5,32.04293994,0,False,3
21.5,32.04293994,10,True,11
20,32.9089653438,4,False,7
21.5,32.04293994,2,False,7
21.5,30.3108891325,0,False,7
20,25.9807621135,10,False,7
18.5,26.8467875173,8,False,7
21.5,26.8467875173,0,False,7
12.5,32.04293994,10,False,3
12.5,32.04293994,0,True,11
12.5,33.7749907476,2,False,7
12.5,32.04293994,0,False,7
11,31.1769145362,10,False,7
6.5,30.3108891325,8,False,7
6.5,32.04293994,6,False,7
8,29.4448637287,10,False,7
-1,31.1769145362,8,False,3
-1,31.1769145362,2,True,11
0.5,32.04293994,0,False,7
-1,31.1769145362,10,False,7
-2.5,32.04293994,8,False,7
-5.5,35.5070415552,6,False,7
-4,36.3730669589,4,False,7
-5.5,33.7749907476,8,False,7
3.5,38.9711431703,6,False,3
3.5,38.9711431703,4,True,11
5,38.1051177665,10,False,7
3.5,38.9711431703,8,False,7
3.5,40.7031939779,6,False,7
5,45.0333209968,4,False,7
6.5,44.167295593,2,False,7
3.5,44.167295593,6,False,7
3.5,23.3826859022,10,False,3
3.5,23.3826859022,0,True,11
3.5,25.1147367097,2,False,7
