x,y,dir,ref,pt
2.5,-0.866025403784438,0,True,1
-2,-1.73205080756888,4,True,1
-0.500000000000001,2.59807621135332,8,True,1
2.5,2.59807621135332,0,True,1
-0.5,6.06217782649107,2,True,1
-3.5,6.06217782649107,6,True,1
-3.5,0.866025403784439,8,True,1
-5,-3.46410161513775,10,True,1
-3.5,-6.06217782649107,2,True,1
1,-3.46410161513775,4,True,1
5.5,-2.59807621135332,6,True,1
7,7.7715611723761e-16,10,True,1
4,5.19615242270663,10,False,1
8.5,4.33012701892219,8,True,1
10,1.73205080756888,4,True,1
8.5,-2.59807621135332,2,True,1
8.5,-6.06217782649107,8,True,1
4,-8.66025403784439,4,True,1
2.5,-6.06217782649107,6,False,1
-0.5,-9.52627944162882,0,True,1
-3.5,-9.52627944162882,8,True,1
-6.5,-6.06217782649107,6,True,1
-9.5,-4.33012701892219,0,True,1
-9.5,0.866025403784439,8,True,1
-6.5,0.86602540378444,2,False,1
-8,5.19615242270663,4,True,1
-6.5,7.79422863405995,0,True,1
-2,8.66025403784439,10,True,1
1,10.3923048454133,4,True,1
5.5,7.79422863405995,0,True,1
7,-10.3923048454133,4,True,1
11.5,-9.52627944162883,6,True,1
11.5,-6.06217782649107,6,True,1
13,-3.46410161513775,4,False,1
14.5,-0.866025403784439,6,True,1
14.5,2.59807621135332,6,True,1
11.5,4.33012701892219,0,True,1
8.5,7.79422863405995,2,True,1
5.5,11.2583302491977,0,True,1
2.5,14.7224318643355,2,True,1
-0.5,12.9903810567666,2,True,1
-3.5,12.9903810567666,8,False,1
-6.5,12.9903810567666,2,True,1
-9.5,11.2583302491977,2,True,1
-9.5,7.79422863405995,8,True,1
-11,3.46410161513776,10,True,1
-12.5,-0.866025403784438,8,True,1
-14,-5.19615242270663,10,True,1
-11,-6.92820323027551,10,True,1
-9.5,-9.52627944162882,0,False,1
-8,-12.1243556529821,10,True,1
-5,-13.856406460551,10,True,1
-2,-12.1243556529821,4,True,1
2.5,-11.2583302491977,6,True,1
10,12.1243556529821,10,True,1
13,10.3923048454133,10,True,1
14.5,7.79422863405995,0,False,1
16,5.19615242270663,10,True,1
19,3.46410161513776,10,True,1
17.5,-0.866025403784439,2,True,1
17.5,-4.33012701892219,8,True,1
16,-8.66025403784439,10,True,1
14.5,-12.9903810567666,2,True,1
11.5,-14.7224318643355,2,True,1
8.5,-14.7224318643355,8,False,1
5.5,-14.7224318643355,2,True,1
2.5,-16.4544826719043,2,True,1
-0.5,-16.4544826719043,8,False,1
-3.5,-16.4544826719043,2,True,1
-6.5,-18.1865334794732,2,True,1
-9.5,-14.7224318643355,6,True,1
-12.5,-12.9903810567666,0,True,1
-15.5,-9.52627944162883,2,True,1
-18.5,-6.06217782649107,6,True,1
-18.5,-2.59807621135332,6,True,1
-17,5.55111512312578e-16,4,False,1
-15.5,2.59807621135332,6,True,1
-15.5,6.06217782649107,6,True,1
-14,8.66025403784439,4,False,1
-12.5,11.2583302491977,6,True,1
-12.5,14.7224318643355,6,True,1
-8,15.5884572681199,10,True,1
-5,17.3205080756888,4,True,1
-0.5,18.1865334794732,6,True,1
4,19.0525588832577,10,True,1
7,17.3205080756888,10,True,1
8.5,14.7224318643355,0,False,1
17.5,-11.2583302491977,2,True,1
19,-6.92820323027551,4,True,1
20.5,-4.33012701892219,0,True,1
22,1.73205080756888,10,True,1
23.5,-0.866025403784438,0,False,1
23.5,4.33012701892219,0,True,1
20.5,7.79422863405995,8,True,1
17.5,11.2583302491977,6,True,1
14.5,14.7224318643355,8,True,1
11.5,18.1865334794732,6,True,1
8.5,19.9185842870421,0,True,1
5.5,23.3826859021798,8,True,1
1,20.7846096908265,10,True,1
-3.5,19.9185842870421,0,True,1
-6.5,19.9185842870421,8,True,1
-12.5,18.1865334794732,6,True,1
-11,20.7846096908265,4,False,1
-15.5,18.1865334794732,8,True,1
-17,13.856406460551,4,True,1
-18.5,9.52627944162882,2,True,1
-20,5.19615242270663,4,True,1
-21.5,0.866025403784439,2,True,1
-21.5,-2.59807621135332,8,True,1
-23,-6.92820323027551,4,True,1
-18.5,-9.52627944162883,6,True,1
-15.5,-12.9903810567666,8,True,1
-14,-15.5884572681199,4,True,1
-9.5,-19.9185842870421,2,True,1
-12.5,-19.9185842870421,8,False,1
-8,-22.5166604983954,4,True,1
-3.5,-21.650635094611,0,True,1
1,-20.7846096908265,10,True,1
5.5,-19.9185842870421,0,True,1
10,-19.0525588832576,10,True,1
13,-17.3205080756888,4,True,1
17.5,-16.4544826719043,0,True,1
