x,y,dir,ref,pt
18.5,-2.59807621135332,6,False,1
17,-3.85825639795075e-15,4,True,1
14,-5.19615242270663,10,False,1
12.5,-0.866025403784443,8,False,1
15.5,2.59807621135331,6,False,1
20,5.19615242270663,4,False,1
21.5,0.866025403784438,2,False,1
11,-6.92820323027551,10,False,1
9.5,-9.52627944162883,0,True,1
15.5,-9.52627944162883,2,False,1
12.5,-12.9903810567666,0,False,1
8,-12.1243556529821,10,False,1
3.5,-9.52627944162883,8,False,1
6.5,-6.06217782649107,6,False,1
5,-13.856406460551,10,False,1
9.5,0.866025403784436,8,False,1
6.5,0.866025403784438,2,True,1
9.5,-4.3301270189222,0,False,1
5,-3.46410161513776,10,False,1
3.5,0.866025403784437,8,False,1
3.5,6.06217782649107,6,False,1
8,5.19615242270663,4,False,1
0.5,2.59807621135332,8,False,1
15.5,6.06217782649107,6,False,1
14,8.66025403784438,4,True,1
11,3.46410161513776,10,False,1
9.5,7.79422863405994,8,False,1
12.5,11.2583302491977,6,False,1
17,13.856406460551,4,False,1
18.5,9.52627944162882,2,False,1
12.5,14.7224318643355,6,False,1
20,15.5884572681199,4,False,1
21.5,18.1865334794732,6,True,1
15.5,18.1865334794732,8,False,1
18.5,21.650635094611,6,False,1
23,20.7846096908265,4,False,1
27.5,18.1865334794732,2,False,1
24.5,14.7224318643355,0,False,1
26,22.5166604983954,4,False,1
21.5,7.79422863405995,2,False,1
24.5,7.79422863405994,8,True,1
21.5,12.9903810567666,6,False,1
26,12.1243556529821,4,False,1
27.5,7.79422863405995,2,False,1
27.5,2.59807621135332,0,False,1
23,3.46410161513775,10,False,1
30.5,6.06217782649107,2,False,1
12.5,18.1865334794732,6,False,1
11,20.7846096908265,4,True,1
8,15.5884572681199,10,False,1
6.5,19.9185842870421,8,False,1
9.5,23.3826859021799,6,False,1
14,25.9807621135332,4,False,1
15.5,21.650635094611,2,False,1
9.5,26.8467875173176,6,False,1
